=== СВЯЗИ МЕЖДУ ТАБЛИЦАМИ БД: bd_intelligent_sales ===
Дата: Fri Jun 19 08:27:01 AM UTC 2026
========================================

        source_table        |     source_column      |    target_table     | target_column |                  constraint_name                  
----------------------------+------------------------+---------------------+---------------+---------------------------------------------------
 client_year_activity       | client_code            | clients             | code          | client_year_activity_client_code_fkey
 clients                    | activity_direction_id  | activity_directions | id            | clients_activity_direction_id_fkey
 clients                    | group_id               | client_groups       | id            | clients_group_id_fkey
 clients                    | current_status_id      | status_rules        | id            | clients_current_status_id_fkey
 documents                  | client_code            | clients             | code          | documents_client_code_fkey
 historical_client_activity | group_id               | client_groups       | id            | historical_client_activity_group_id_fkey
 historical_client_activity | client_code            | clients             | code          | historical_client_activity_client_code_fkey
 manager_rejections_log     | document_id            | documents           | id            | manager_rejections_log_document_id_fkey
 manager_rejections_log     | client_code            | clients             | code          | manager_rejections_log_client_code_fkey
 manager_rejections_log     | product_code           | products            | code          | manager_rejections_log_product_code_fkey
 product_aliases            | product_code           | products            | code          | product_aliases_product_code_fkey
 product_cross_sells        | main_product_code      | products            | code          | product_cross_sells_main_product_code_fkey
 product_cross_sells        | related_product_code   | products            | code          | product_cross_sells_related_product_code_fkey
 product_scoring            | client_code            | clients             | code          | product_scoring_client_code_fkey
 product_scoring            | product_code           | products            | code          | product_scoring_product_code_fkey
 product_similarities       | source_product_code    | products            | code          | product_similarities_source_product_code_fkey
 product_similarities       | similar_product_code   | products            | code          | product_similarities_similar_product_code_fkey
 production_lead_times      | product_code           | products            | code          | production_lead_times_product_code_fkey
 production_lead_times      | alternative_blank_code | products            | code          | production_lead_times_alternative_blank_code_fkey
 products                   | anchor_direction_id    | activity_directions | id            | products_anchor_direction_id_fkey
 sales_lines                | document_id            | documents           | id            | sales_lines_document_id_fkey
 sales_lines                | product_code           | products            | code          | sales_lines_product_code_fkey
 status_change_log          | client_code            | clients             | code          | status_change_log_client_code_fkey
 status_change_log          | old_status_id          | status_rules        | id            | status_change_log_old_status_id_fkey
 status_change_log          | new_status_id          | status_rules        | id            | status_change_log_new_status_id_fkey
 website_behavior_log       | product_code           | products            | code          | website_behavior_log_product_code_fkey
 website_behavior_log       | client_code            | clients             | code          | website_behavior_log_client_code_fkey
(27 rows)

