product_code;product_name;in_stock_balance
811;Труба проф. 250х250х 8 ст09Г2С 7304900000;0
814;Труба проф. 250х250х12 ст09Г2С 7304900000;0
815;Труба проф. 250х250х 8 ст20 7304900000;0
816;Труба проф. 250х250х10 ст20 7304900000;0
817;Труба проф. 250х250х12 ст20 7304900000;0
818;Труба проф. 200х120х 8 ст09Г2С 7304900000;0
819;Труба проф. 200х120х 6 ст20 7304900000;0
820;Труба проф. 200х120х 8 ст20 7304900000;0
821;Труба проф. 200х120х10 ст20 7304900000;0
822;Труба проф. 320х180х10 ст20 7304900000;0
5529;Труба проф. 300х100х 8 ст09Г2С 7304900000;0
5531;Труба проф. 300х100х 8 ст20 7304900000;0
5532;Труба проф. 300х100х10 ст20 7304900000;0
5536;ГОСТ 19903-74 8 х2000х6000 ст3сп 7208529900;0
5623;ГОСТ 8732 121х16 ст20 7304399290;0
5640;ГОСТ 8732 121х30 ст45 7304399290;0
5649;ГОСТ 8732 127х 5 ст20 7304399290;0
5661;ГОСТ 8732 127х16 ст20 7304399290;0
5672;ГОСТ 8732 127х 6 ст20Г 7304399290;0
5674;ГОСТ 8732 127х12 ст35 7304399290;0
5675;ГОСТ 8732 127х14 ст35 7304399290;0
5682;ГОСТ 8732 127х14 ст45 7304399290;0
5705;ГОСТ 8732 133х16 ст20 7304399290;0
5712;ГОСТ 8732 133х25 ст20 7304191090;0
5713;ГОСТ 8732 133х25 ст20 7304399290;0
5737;ГОСТ 8732 140х10 ст20 7304399290;0
5761;ГОСТ 8732 140х34 ст35 7304399290;0
5762;ГОСТ 8732 140х 6 ст40 Х 7304399290;0
5771;ГОСТ 8732 146х 5 ст20 7304399290;0
5778;ГОСТ 8732 146х12 ст20 7304399290;0
5784;ГОСТ 8732 146х18 ст20 7304399290;0
5789;ГОСТ 8732 146х28 ст20 7304399290;0
5791;ГОСТ 8732 146х30 ст20 7304399290;0
5793;ГОСТ 8732 146х32 ст20 7304399290;0
5794;ГОСТ 8732 146х36 ст20 7304399290;0
5801;ГОСТ 8732 146х32 ст35 7304399290;0
5803;ГОСТ 8732 146х14 ст45 7304399290;0
5806;ГОСТ 8732 146х25 ст45 7304399290;0
5808;ГОСТ 8732 146х28 ст45 7304399290;0
5821;ГОСТ 8732 152х 8 ст20 7304399290;0
5843;ГОСТ 8732 152х16 ст35 7304399290;0
5879;ГОСТ 8732 159х25 ст20 7304399290;0
5886;ГОСТ 8732 159х 6 ст35 7304399290;0
5887;ГОСТ 8732 159х12 ст35 7304399290;0
5895;ГОСТ 8732 159х20 ст45 7304399290;0
5908;ГОСТ 8732 168х 6 ст20 7304399290;0
5936;ГОСТ 8732 168х 9 ст35 7304399290;0
5939;ГОСТ 8732 168х28 ст35 7304399290;0
5949;ГОСТ 8732 168х32 ст45 7304399290;0
5968;ГОСТ 8732 180х16 ст20 7304399390;0
5979;ГОСТ 8732 180х45 ст20 7304399390;0
5981;ГОСТ 8732 180х25 ст35 7304399390;0
5985;ГОСТ 8732 180х40 ст45 7304399390;0
5991;ГОСТ 8732 194х 6 ст20 7304193090;0
6000;ГОСТ 8732 194х10 ст20 7304399390;0
6005;ГОСТ 8732 194х14 ст20 7304399390;0
6026;ГОСТ 8732 194х35 ст45 7304399390;0
6037;ГОСТ 8732 203х14 ст20 7304399390;0
6045;ГОСТ 8732 203х28 ст20 7304399390;0
6053;ГОСТ 8732 203х50 ст20 7304399390;0
6057;ГОСТ 8732 203х28 ст35 7304399390;0
6064;ГОСТ 8732 203х40 ст45 7304399390;0
6069;ГОСТ 8732 203х60 ст45 7304193090;0
6070;ГОСТ 8732 219х 6 ст09Г2С 7304399390;0
6077;ГОСТ 8732 219х 7 ст20 7304399390;0
6083;ГОСТ 8732 219х12 ст20 7304193090;0
6091;ГОСТ 8732 219х20 ст20 7304193090;0
6100;ГОСТ 8732 219х30-45 ст20 7304399390;0
6119;ГОСТ 8732 219х22 ст35 7304399390;0
6125;ГОСТ 8732 219х36 ст45 7304399390;0
6147;ГОСТ 8732 245х16 ст20 7304193090;0
6151;ГОСТ 8732 245х20 ст20 7304399390;0
6172;ГОСТ 8732 245х13.5 ст40 Х 7304399390;0
6195;ГОСТ 8732 273х 9 ст20 7304399390;0
6197;ГОСТ 8732 273х10 ст20 7304399390;0
6199;ГОСТ 8732 273х12 ст20 7304399390;0
6205;ГОСТ 8732 273х18 ст20 7304399390;0
6213;ГОСТ 8732 273х30 ст20 7304193090;0
6231;ГОСТ 8732 273х30 ст35 7304399390;0
6236;ГОСТ 8732 273х30 ст45 7304399390;0
6238;ГОСТ 8732 273х36 ст45 7304399390;0
6242;ГОСТ 8732 273х45 ст45 7304399390;0
6243;ГОСТ 8732 273х50 ст45 7304193090;0
6245;ГОСТ 8732 273х56 ст45 7304399290;0
6252;ГОСТ 8732 299х36 ст09Г2С 7304399390;0
6256;ГОСТ 8732 299х10 ст20 7304399390;0
6260;ГОСТ 8732 299х14 ст20 7304399390;0
6262;ГОСТ 8732 299х16 ст20 7304399390;0
6263;ГОСТ 8732 299х18 ст20 7304399390;0
6267;ГОСТ 8732 299х25 ст20 7304399390;0
6273;ГОСТ 8732 299х40 ст20 7304399390;0
6298;ГОСТ 8732 325х 7 ст20 7304399390;0
6303;ГОСТ 8732 325х10 ст20 7304399390;0
