code;name;in_stock_balance;created_at;is_weight
811;Труба проф. 250х250х 8 ст09Г2С;0.31;2026-01-01;FALSE
814;Труба проф. 250х250х12 ст09Г2С;0.22;2026-01-01;FALSE
815;Труба проф. 250х250х 8 ст20;3.59;2026-01-01;FALSE
816;Труба проф. 250х250х10 ст20;0.52;2026-01-01;FALSE
817;Труба проф. 250х250х12 ст20;8.17;2026-01-01;FALSE
818;Труба проф. 200х120х 8 ст09Г2С;3.82;2026-01-01;FALSE
819;Труба проф. 200х120х 6 ст20;1.825;2026-01-01;FALSE
820;Труба проф. 200х120х 8 ст20;3.779;2026-01-01;FALSE
821;Труба проф. 200х120х10 ст20;6.35;2026-01-01;FALSE
822;Труба проф. 320х180х10 ст20;0.87;2026-01-01;FALSE
5529;Труба проф. 300х100х 8 ст09Г2С;3.07;2026-01-01;FALSE
5531;Труба проф. 300х100х 8 ст20;5.39;2026-01-01;FALSE
5532;Труба проф. 300х100х10 ст20;13.085;2026-01-01;FALSE
5536;ГОСТ 19903-74 8 х2000х6000 ст3сп;0.32;2026-01-01;FALSE
5623;ГОСТ 8732 121х16 ст20;0.15;2026-01-01;FALSE
5640;ГОСТ 8732 121х30 ст45;0;2026-01-01;FALSE
5649;ГОСТ 8732 127х 5 ст20;0.03;2026-01-01;FALSE
5661;ГОСТ 8732 127х16 ст20;0.339;2026-03-24;FALSE
5672;ГОСТ 8732 127х 6 ст20Г;0.11;2026-01-01;FALSE
5674;ГОСТ 8732 127х12 ст35;0;2026-01-01;FALSE
5675;ГОСТ 8732 127х14 ст35;0.49;2026-01-01;FALSE
5682;ГОСТ 8732 127х14 ст45;1.27;2026-01-01;FALSE
5705;ГОСТ 8732 133х16 ст20;0.055;2026-01-01;FALSE
5712;ГОСТ 8732 133х25 ст20;0;2026-01-01;FALSE
5713;ГОСТ 8732 133х25 ст20;0;2026-01-01;FALSE
5737;ГОСТ 8732 140х10 ст20;0.364;2026-01-01;FALSE
5761;ГОСТ 8732 140х34 ст35;0;2026-01-01;FALSE
5762;ГОСТ 8732 140х 6 ст40 Х;0.057;2026-01-01;FALSE
5771;ГОСТ 8732 146х 5 ст20;0.051;2026-01-01;FALSE
5778;ГОСТ 8732 146х12 ст20;0.04;2026-01-01;FALSE
5784;ГОСТ 8732 146х18 ст20;0;2026-01-01;FALSE
5789;ГОСТ 8732 146х28 ст20;1.184;2026-01-01;FALSE
5791;ГОСТ 8732 146х30 ст20;7.645;2026-01-01;FALSE
5793;ГОСТ 8732 146х32 ст20;4.871;2026-01-01;FALSE
5794;ГОСТ 8732 146х36 ст20;3.211;2026-01-01;FALSE
5801;ГОСТ 8732 146х32 ст35;0.58;2026-01-01;FALSE
5803;ГОСТ 8732 146х14 ст45;0.38;2026-01-01;FALSE
5806;ГОСТ 8732 146х25 ст45;2.184;2026-01-01;FALSE
5808;ГОСТ 8732 146х28 ст45;0.35;2026-01-01;FALSE
5821;ГОСТ 8732 152х 8 ст20;0;2026-01-01;FALSE
5843;ГОСТ 8732 152х16 ст35;1.5;2026-01-01;FALSE
5879;ГОСТ 8732 159х25 ст20;0.16;2026-01-01;FALSE
5886;ГОСТ 8732 159х 6 ст35;0.08;2026-01-01;FALSE
5887;ГОСТ 8732 159х12 ст35;5.685;2026-01-01;FALSE
5893;ГОСТ 8732 159х40 ст35;0.38;2026-03-24;FALSE
5895;ГОСТ 8732 159х20 ст45;1.615;2026-01-01;FALSE
5908;ГОСТ 8732 168х 6 ст20;0.02;2026-01-01;FALSE
5916;ГОСТ 8732 168х12 ст20;0;2026-03-20;FALSE
5936;ГОСТ 8732 168х 9 ст35;5.62;2026-01-01;FALSE
5939;ГОСТ 8732 168х28 ст35;1.6;2026-01-01;FALSE
5949;ГОСТ 8732 168х32 ст45;8.659;2026-01-01;FALSE
5968;ГОСТ 8732 180х16 ст20;0;2026-01-01;FALSE
5979;ГОСТ 8732 180х45 ст20;0;2026-01-01;FALSE
5981;ГОСТ 8732 180х25 ст35;0.03;2026-01-01;FALSE
5985;ГОСТ 8732 180х40 ст45;0;2026-01-01;FALSE
5991;ГОСТ 8732 194х 6 ст20;0.04;2026-01-01;FALSE
6000;ГОСТ 8732 194х10 ст20;0;2026-01-01;FALSE
6005;ГОСТ 8732 194х14 ст20;0.6;2026-01-01;FALSE
6026;ГОСТ 8732 194х35 ст45;0;2026-01-01;FALSE
6037;ГОСТ 8732 203х14 ст20;0.464;2026-01-01;FALSE
6045;ГОСТ 8732 203х28 ст20;0.245;2026-01-01;FALSE
6053;ГОСТ 8732 203х50 ст20;0.04;2026-01-01;FALSE
6057;ГОСТ 8732 203х28 ст35;2.038;2026-01-01;FALSE
6064;ГОСТ 8732 203х40 ст45;3.116;2026-01-01;FALSE
6069;ГОСТ 8732 203х60 ст45;0.94;2026-03-24;FALSE
6070;ГОСТ 8732 219х 6 ст09Г2С;0.659;2026-01-01;FALSE
6077;ГОСТ 8732 219х 7 ст20;0;2026-01-01;FALSE
6083;ГОСТ 8732 219х12 ст20;0;2026-01-01;FALSE
6091;ГОСТ 8732 219х20 ст20;6.095;2026-01-01;FALSE
6100;ГОСТ 8732 219х30-45 ст20;0.12;2026-01-01;FALSE
6119;ГОСТ 8732 219х22 ст35;12.36;2026-01-01;FALSE
6125;ГОСТ 8732 219х36 ст45;0.17;2026-01-01;FALSE
6147;ГОСТ 8732 245х16 ст20;3.749;2026-01-01;FALSE
6151;ГОСТ 8732 245х20 ст20;0.001;2026-01-01;FALSE
6172;ГОСТ 8732 245х13.5 ст40 Х;15.075;2026-01-01;FALSE
6195;ГОСТ 8732 273х 9 ст20;9.509;2026-01-01;FALSE
6197;ГОСТ 8732 273х10 ст20;1.344;2026-01-01;FALSE
6199;ГОСТ 8732 273х12 ст20;0;2026-01-01;FALSE
6205;ГОСТ 8732 273х18 ст20;0.18;2026-01-01;FALSE
6213;ГОСТ 8732 273х30 ст20;0.255;2026-01-01;FALSE
6231;ГОСТ 8732 273х30 ст35;1.24;2026-01-01;FALSE
6236;ГОСТ 8732 273х30 ст45;0.03;2026-01-01;FALSE
6238;ГОСТ 8732 273х36 ст45;0.36;2026-01-01;FALSE
6242;ГОСТ 8732 273х45 ст45;0.45;2026-01-01;FALSE
6243;ГОСТ 8732 273х50 ст45;0.82;2026-03-24;FALSE
6245;ГОСТ 8732 273х56 ст45;0.298;2026-01-01;FALSE
6252;ГОСТ 8732 299х36 ст09Г2С;0.49;2026-01-01;FALSE
6256;ГОСТ 8732 299х10 ст20;1.03;2026-01-01;FALSE
6260;ГОСТ 8732 299х14 ст20;0.74;2026-01-01;FALSE
6262;ГОСТ 8732 299х16 ст20;0.17;2026-01-01;FALSE
6263;ГОСТ 8732 299х18 ст20;4.097;2026-01-01;FALSE
6267;ГОСТ 8732 299х25 ст20;0.031;2026-01-01;FALSE
6273;ГОСТ 8732 299х40 ст20;0;2026-01-01;FALSE
6298;ГОСТ 8732 325х 7 ст20;0.05;2026-01-01;FALSE
6303;ГОСТ 8732 325х10 ст20;1.538;2026-01-01;FALSE
6316;ГОСТ 8732 325х25 ст20;0;2026-01-01;FALSE
6337;ГОСТ 8732 325х20 ст35;0.1;2026-01-01;FALSE
6345;ГОСТ 8732 325х36 ст45;1.269;2026-01-01;FALSE
6348;ГОСТ 8732 325х45 ст45;0.34;2026-01-01;FALSE
6357;ГОСТ 8732 351х12 ст20;0.19;2026-01-01;FALSE
