document_id;product_code;quantity;amount
1;10035;1;160
1;14144;1;10556
2;10595;1;"1434,5"
3;7697;1;55141
4;10035;1;2000
4;11876;1;8294
4;14041;1;8880
5;10696;1;5523
5;10697;1;8140
5;11651;1;789
6;7579;1;12560
6;10035;1;4000
6;13971;1;5278
7;10035;1;3700
7;10842;1;12866
7;13648;1;20616
7;13732;1;26651
7;14760;1;8734
8;14679;1;73892
9;8520;1;520
9;10640;1;10585
9;11094;1;19725
10;11695;1;36285
11;14379;1;"106945,5"
12;14246;1;8200
12;14247;1;"5637,5"
12;14819;1;6690
13;14689;1;75480
14;7546;1;18840
15;14419;1;64575
16;7679;1;158570
16;10709;1;293880
16;13899;1;14880
16;14041;1;177072
17;13563;1;118990
17;13809;1;18120
17;14907;1;29930
17;14911;1;29200
18;11811;1;9080
19;10035;1;3250
19;10802;1;"1183,5"
19;12367;1;16635
19;12949;1;3016
19;14490;1;12885
20;7679;1;64395
21;14916;1;231620
22;10790;1;53550
22;14915;1;63000
23;8572;1;300
23;10696;1;4824
23;10789;1;6160
23;14123;1;5390
24;14055;1;70840
24;14129;1;122757
24;14831;1;"56521,2"
25;14969;1;102000
26;7515;1;60800
26;11950;1;238374
27;14811;1;4945
28;14055;1;7007
29;13959;1;68820
30;10790;1;35420
30;13851;1;120800
31;14055;1;322476
32;14847;1;34730
33;10599;1;308560
34;13857;1;98310
35;7679;1;129600
36;10573;1;25670
37;10586;1;46810
37;10587;1;45300
38;10558;1;58855
38;10604;1;73755
39;10035;1;6800
39;10694;1;36654
39;13706;1;8046
39;14894;1;33078
40;10841;1;14345
40;13851;1;43035
41;14667;1;8050
42;10035;1;2000
42;10755;1;16092
42;11888;1;4470
43;10035;1;180
43;10734;1;"29822,5"
44;14969;1;17365
45;14794;1;28300
46;14571;1;20575
47;10035;1;1250
47;10583;1;380
48;7679;1;"10732,5"
49;7479;1;130034
49;7679;1;95770
49;7703;1;125919
49;7801;1;153901
49;7804;1;18840
49;13823;1;"1887,5"
49;14235;1;92176
49;14302;1;60079
50;11695;1;1107
50;14135;1;5280
51;7713;1;23550
51;14302;1;30451
52;7703;1;255130
52;7713;1;100480
52;14235;1;118512
52;14302;1;30451
53;10567;1;24882
53;13956;1;29725
53;14488;1;18898
53;14682;1;34360
54;13857;1;"9031,5"
54;14658;1;3360
55;10600;1;3700
56;7803;1;181335
57;7465;1;283112
57;7470;1;60445
57;7703;1;32097
57;7713;1;24335
58;7546;1;9600
59;7465;1;343580
60;7465;1;146650
60;7703;1;32682
60;14157;1;"1162,5"
60;14836;1;3895
61;7465;1;159220
61;7703;1;129890
62;7804;1;78500
63;7804;1;394855
64;14658;1;3402
65;8557;1;400
65;14816;1;30418
66;10035;1;900
66;10697;1;21895
67;10035;1;2400
67;10976;1;51484
68;13850;1;15198
69;13850;1;161492
70;7695;1;9600
70;10035;1;60
71;10035;1;100
71;10603;1;15198
72;10035;1;500
72;13809;1;12835
73;11395;1;29667
73;11537;1;208613
73;12751;1;20218
73;13876;1;31246
73;14670;1;88150
73;14785;1;53302
74;7519;1;166400
74;10035;1;700
74;14593;1;19668
75;7455;1;25600
75;10035;1;910
75;10650;1;26820
75;13823;1;77000
76;14124;1;51959
76;14811;1;36320
77;7573;1;15637
77;7605;1;11522
77;10035;1;520
77;10709;1;12818
77;11876;1;58058
77;12153;1;14240
77;13809;1;36240
77;14424;1;36192
77;14960;1;67650
78;7573;1;49442
78;7605;1;33520
78;11768;1;3080
78;14186;1;31290
78;14529;1;9348
79;7593;1;117660
80;7544;1;18840
80;7546;1;27475
80;7553;1;5495
80;10501;1;23550
80;13825;1;6150
81;14143;1;41400
81;14682;1;75603
82;10793;1;3375
83;10035;1;50
83;11690;1;747
84;10725;1;37422
84;13632;1;1350
85;10035;1;1800
85;10649;1;13410
86;10035;1;320
86;14307;1;57962
87;10035;1;50
87;10591;1;3775
88;5803;1;66521
88;10035;1;80
88;14298;1;5285
89;7537;1;7850
89;7540;1;9420
89;7544;1;12560
89;7558;1;11256
89;7802;1;13345
89;10035;1;500
90;7544;1;12720
90;7558;1;11396
90;7622;1;12720
90;8525;1;320
91;8636;1;1040
91;11817;1;4830
91;14648;1;"1237,5"
91;14665;1;6325
92;8515;1;320
92;14136;1;6440
93;10596;1;24255
93;10602;1;23360
93;10610;1;62780
93;10704;1;148190
93;10742;1;76131
93;10793;1;48180
94;7697;1;96291
94;8217;1;55735
94;14816;1;116905
95;7455;1;51025
95;7483;1;157785
95;7679;1;"95377,5"
95;7697;1;97114
95;13956;1;150675
95;14816;1;113500
96;7510;1;169335
96;7602;1;63600
96;7679;1;127995
96;7697;1;69139
97;7455;1;52800
97;7584;1;144800
97;7602;1;88000
97;7699;1;70400
97;10035;1;2000
97;10685;1;17138
97;13802;1;98933
97;14787;1;25926
97;14958;1;210080
98;8217;1;56000
99;7482;1;209844
99;7706;1;26690
100;10493;1;31760
101;7438;1;38400
101;7441;1;25600
102;14828;1;512560
103;10035;1;1700
103;14635;1;1664
104;10035;1;1700
104;14635;1;2080
105;10035;1;80
105;14419;1;7175
106;10035;1;160
106;10862;1;29206
107;11758;1;52891
107;14135;1;18600
107;14665;1;"11236,5"
108;10035;1;500
108;14657;1;"11542,5"
109;14650;1;37650
110;10773;1;88218
110;13802;1;9802
110;13966;1;13590
111;10749;1;3770
111;14961;1;20805
112;8531;1;450
112;14055;1;32340
113;14652;1;3984
114;11701;1;"5467,5"
114;13053;1;"4855,5"
115;10035;1;150
115;14965;1;"2251,2"
116;10035;1;660
116;13760;1;29600
117;10035;1;1200
117;10558;1;21830
117;10690;1;"18497,5"
118;10035;1;2400
118;10853;1;20878
119;10035;1;2400
119;10853;1;20438
120;14021;1;8001
121;10035;1;2180
121;10600;1;3775
121;11344;1;8940
122;10035;1;2400
122;10979;1;17746
123;10035;1;60
123;11669;1;2718
124;11344;1;285186
125;8644;1;1200
125;11413;1;66440
126;7461;1;13345
126;8517;1;160
126;10035;1;2000
127;11702;1;1080
127;14442;1;2350
127;14648;1;3400
127;14652;1;7749
127;14831;1;"5601,9"
128;10035;1;100
128;14488;1;9449
129;10035;1;160
129;14092;1;25770
130;10035;1;2500
130;13951;1;"377,5"
130;14146;1;"157,8"
131;10035;1;100
131;14652;1;738
132;11785;1;560
133;10035;1;220
133;13966;1;10010
133;13984;1;15855
134;14488;1;8046
135;7570;1;24800
135;7719;1;28800
135;10035;1;480
136;7443;1;4000
136;7519;1;4000
136;9004;1;2000
136;10035;1;2000
137;13858;1;5650
138;10844;1;62707
138;11527;1;87618
138;11837;1;30924
138;14568;1;35219
139;10035;1;2400
139;13582;1;5811
140;10035;1;2000
140;14762;1;17880
141;7802;1;13345
141;10035;1;120
142;10035;1;50
142;11094;1;"2761,5"
143;14557;1;52156
144;10035;1;50
144;14649;1;952
145;10035;1;720
145;14247;1;63135
146;11903;1;18850
146;13654;1;162351
146;13863;1;54976
147;8548;1;3840
148;8548;1;3840
149;8548;1;3840
150;10552;1;46620
151;13877;1;83950
152;10991;1;67890
153;10697;1;62050
154;10558;1;59130
155;10035;1;2800
155;14479;1;67716
156;10552;1;18500
157;13982;1;297750
158;10586;1;151500
159;10552;1;256700
160;7458;1;21200
160;10035;1;80
161;10035;1;100
161;14129;1;1845
162;10035;1;50
162;11783;1;323
163;14806;1;5324
164;12384;1;15525
165;10035;1;4800
165;12510;1;"45056,5"
165;13788;1;12726
165;14407;1;20907
166;7562;1;2499
166;10035;1;1300
167;11869;1;3895
168;10035;1;240
168;13857;1;11187
169;8515;1;200
169;11813;1;"1286,4"
170;10035;1;50
170;11059;1;717
171;7706;1;"105582,5"
171;7732;1;147580
172;10557;1;52560
172;10595;1;218295
172;10742;1;19225
172;11760;1;44200
173;10035;1;2000
173;14096;1;35438
174;14810;1;57250
175;7544;1;6400
175;7706;1;27200
176;13851;1;90600
177;10035;1;1700
177;11876;1;1508
178;10035;1;2400
178;13728;1;67002
179;10035;1;2800
179;14558;1;28842
180;10035;1;50
180;14801;1;1107
181;10035;1;2900
181;10730;1;4345
181;14954;1;242
182;10035;1;3400
182;11869;1;764
182;14837;1;3056
183;10035;1;1700
183;14838;1;"1947,5"
184;10035;1;2000
184;14125;1;"1132,5"
185;10035;1;2000
185;10555;1;"1887,5"
186;10035;1;2400
186;14587;1;"8958,5"
187;6064;1;5724
187;10035;1;2400
188;10035;1;100
188;11744;1;"321,6"
189;10697;1;48280
189;11985;1;8140
189;14914;1;66430
190;10035;1;5210
190;10582;1;"552,3"
190;10697;1;2590
190;14828;1;92710
190;14914;1;11100
191;13998;1;13560
192;13995;1;"1579,5"
192;14665;1;1610
193;7483;1;8000
193;10723;1;16986
194;8255;1;25600
194;10035;1;2400
195;8517;1;4100
195;10035;1;2000
195;12524;1;12402
195;13809;1;3080
195;13818;1;20034
195;14246;1;3120
196;10519;1;128350
196;10802;1;4824
196;14188;1;43790
196;14915;1;101170
197;10567;1;16359
197;11888;1;20562
197;14000;1;58760
197;14409;1;98070
198;10035;1;150
198;14519;1;"4880,5"
199;7723;1;29045
199;10035;1;160
200;10035;1;2000
200;10576;1;2590
201;7742;1;4938
201;8517;1;120
202;7695;1;9420
202;10035;1;300
203;10035;1;2650
203;10582;1;"7337,7"
203;13809;1;"2038,5"
204;10035;1;1780
204;10808;1;6552
205;7590;1;6400
206;7742;1;2933
206;10035;1;1760
207;10035;1;150
207;10582;1;2010
207;13997;1;1380
208;10035;1;80
208;10970;1;14345
209;8571;1;600
209;10582;1;8442
210;7742;1;5447
210;10035;1;1820
211;10569;1;34684
211;11413;1;12950
211;13827;1;2265
211;14057;1;34780
211;14833;1;25900
212;8525;1;400
212;14373;1;19522
212;14671;1;7134
213;14373;1;"19862,5"
214;10035;1;120
214;11869;1;6876
214;14373;1;8015
215;10035;1;2400
215;14309;1;8046
216;10035;1;1700
216;10569;1;35834
216;10739;1;"4907,5"
216;14905;1;33975
217;14671;1;2988
218;14967;1;315462
219;14921;1;99840
220;10035;1;2800
220;10744;1;"25822,5"
221;7745;1;36942
221;12996;1;900
222;7527;1;785
222;10035;1;2000
223;7676;1;1012290
224;10035;1;60
224;14201;1;7770
225;14634;1;7037
226;8572;1;600
226;14766;1;71630
227;10035;1;2000
227;11891;1;2577
227;13956;1;8200
228;7541;1;32920
228;10035;1;600
228;10332;1;42796
229;9003;1;180
229;14907;1;5920
230;819;1;"40427,5"
230;9003;1;300
230;10035;1;2100
231;7585;1;4710
231;10035;1;2000
232;7485;1;6280
232;8517;1;160
232;9004;1;2000
232;10035;1;2000
232;10762;1;"51969,5"
233;13994;1;7560
233;14519;1;"8512,5"
233;14652;1;2337
233;14656;1;1560
234;7561;1;9053
234;8517;1;100
235;10035;1;2000
235;14681;1;6409
236;6477;1;5514
236;10035;1;2000
237;10035;1;1700
237;14529;1;1508
238;10035;1;2000
238;11884;1;"6442,5"
239;14824;1;15680
240;14196;1;18600
241;11693;1;615
241;14812;1;1362
242;7453;1;2355
242;7704;1;7065
242;8517;1;4000
242;9004;1;1250
242;10035;1;80
242;13809;1;755
243;10035;1;5700
243;10773;1;"452,4"
243;14687;1;1508
243;14791;1;3770
244;9003;1;150
244;14250;1;3775
245;14812;1;23154
246;10035;1;2000
246;10716;1;6013
247;12248;1;4070
248;7515;1;"6672,5"
248;10035;1;2080
249;10035;1;50
249;11726;1;1589
250;8517;1;160
250;10035;1;2000
250;14162;1;26640
251;7653;1;30615
251;8517;1;160
251;10035;1;2000
252;10035;1;400
252;14485;1;24618
253;10035;1;80
253;13951;1;"2065,5"
254;5737;1;10556
255;10035;1;2080
255;14828;1;19980
256;7562;1;20575
256;7566;1;98088
257;10035;1;2000
257;10485;1;9999
257;14162;1;5250
257;14424;1;6112
258;7837;1;"133055,4"
258;7879;1;"49088,4"
258;8252;1;32097
258;10035;1;7200
258;14575;1;114397
258;14583;1;98760
259;8517;1;160
259;10035;1;2000
259;14298;1;4500
260;10035;1;180
260;10728;1;5250
261;8515;1;200
261;11743;1;"4465,5"
262;7451;1;"2782,5"
262;10035;1;2000
263;11856;1;15525
264;10035;1;50
264;13806;1;1452
265;10035;1;1250
265;14818;1;"1462,5"
266;7630;1;6360
266;9003;1;180
267;10035;1;2160
267;10841;1;27000
267;10972;1;3000
268;8571;1;960
268;10837;1;141000
269;10035;1;150
269;14653;1;2480
270;10035;1;50
270;11800;1;1458
271;10938;1;"46813,5"
272;7523;1;3352
272;10035;1;1700
273;7724;1;3975
273;10035;1;2000
274;9003;1;150
274;11735;1;2185
275;10035;1;50
275;14519;1;1495
276;11858;1;6105
277;7453;1;10400
277;10035;1;2000
278;7494;1;5600
278;10035;1;2000
279;10035;1;4560
279;11315;1;17880
279;14409;1;39228
280;8515;1;320
280;14417;1;4633
281;14130;1;4860
