product_code;product_name;in_stock_balance
813;Труба проф. 250х250х10 ст09Г2С 7304900000;0
815;Труба проф. 250х250х 8 ст20 7304900000;9
817;Труба проф. 250х250х12 ст20 7304900000;3
819;Труба проф. 200х120х 6 ст20 7304900000;3
821;Труба проф. 200х120х10 ст20 7304900000;2
5529;Труба проф. 300х100х 8 ст09Г2С 7304900000;6
5532;Труба проф. 300х100х10 ст20 7304900000;13
5578;ГОСТ 8732 106х17 ст20 7304;0
5617;ГОСТ 8732 121х 8 ст20 7304399290;0
5623;ГОСТ 8732 121х16 ст20 7304399290;0
5636;ГОСТ 8732 121х30 ст35 7304399290;0
5649;ГОСТ 8732 127х 5 ст20 7304399290;0
5655;ГОСТ 8732 127х10 ст20 7304399290;0
5664;ГОСТ 8732 127х20 ст20 7304191090;0
5668;ГОСТ 8732 127х25 ст20 7304399290;0
5674;ГОСТ 8732 127х12 ст35 7304399290;4
5678;ГОСТ 8732 127х20 ст35 7304399290;0
5682;ГОСТ 8732 127х14 ст45 7304399290;6
5686;ГОСТ 8732 127х25 ст45 7304399290;1
5699;ГОСТ 8732 133х10 ст20 7304399290;0
5705;ГОСТ 8732 133х16 ст20 7304399290;0
5713;ГОСТ 8732 133х25 ст20 7304399290;0
5725;ГОСТ 8732 133х25 ст45 7304399290;0
5728;ГОСТ 8732 140х 5 ст09Г2С 7304399290;0
5734;ГОСТ 8732 140х 6 ст20 7304399290;0
5737;ГОСТ 8732 140х10 ст20 7304399290;5
5747;ГОСТ 8732 140х22 ст20 7304399290;0
5752;ГОСТ 8732 140х30 ст20 7304399290;0
5761;ГОСТ 8732 140х34 ст35 7304399290;2
5764;ГОСТ 8732 140х28 ст45 7304191090;0
5771;ГОСТ 8732 146х 5 ст20 7304399290;2
5777;ГОСТ 8732 146х11 ст20 7304399290;0
5783;ГОСТ 8732 146х18 ст20 7304191090;0
5785;ГОСТ 8732 146х20 ст20 7304399290;0
5791;ГОСТ 8732 146х30 ст20 7304399290;9
5794;ГОСТ 8732 146х36 ст20 7304399290;4
5803;ГОСТ 8732 146х14 ст45 7304399290;1
5806;ГОСТ 8732 146х25 ст45 7304399290;3
5810;ГОСТ 8732 146х36 ст45 7304399290;1
5823;ГОСТ 8732 152х10 ст20 7304399290;5
5829;ГОСТ 8732 152х16 ст20 7304399290;1
5843;ГОСТ 8732 152х16 ст35 7304399290;0
5851;ГОСТ 8732 152х30 ст45 7304399290;0
5867;ГОСТ 8732 159х10 ст20 7304399290;0
5871;ГОСТ 8732 159х14 ст20 7304399290;0
5874;ГОСТ 8732 159х18 ст20 7304191090;0
5879;ГОСТ 8732 159х25 ст20 7304399290;1
5887;ГОСТ 8732 159х12 ст35 7304399290;7
5903;ГОСТ 8732 168х10 ст09Г2С 7304399290;0
5908;ГОСТ 8732 168х 6 ст20 7304399290;0
5915;ГОСТ 8732 168х10 ст20 7304399290;0
5923;ГОСТ 8732 168х20 ст20 7304191090;0
5930;ГОСТ 8732 168х28 ст20 7304399290;0
5939;ГОСТ 8732 168х28 ст35 7304399290;2
5949;ГОСТ 8732 168х32 ст45 7304399290;11
5966;ГОСТ 8732 180х14 ст20 7304399390;2
5978;ГОСТ 8732 180х45 ст20 7304193090;0
5981;ГОСТ 8732 180х25 ст35 7304399390;0
5984;ГОСТ 8732 180х36 ст45 7304399390;0
5989;ГОСТ 8732 194х 8 ст09Г2С 7304399390;0
6002;ГОСТ 8732 194х12 ст20 7304399290;0
6005;ГОСТ 8732 194х14 ст20 7304399390;1
6009;ГОСТ 8732 194х18 ст20 7304399390;0
6021;ГОСТ 8732 194х10 ст35 7304399390;0
6026;ГОСТ 8732 194х35 ст45 7304399390;0
6032;ГОСТ 8732 203х 8 ст20 7304399390;0
6035;ГОСТ 8732 203х12 ст20 7304399390;0
6038;ГОСТ 8732 203х16 ст20 7304399390;0
6045;ГОСТ 8732 203х28 ст20 7304399390;6
6053;ГОСТ 8732 203х50 ст20 7304399390;0
6057;ГОСТ 8732 203х28 ст35 7304399390;3
6061;ГОСТ 8732 203х25 ст45 7304399390;2
6064;ГОСТ 8732 203х40 ст45 7304399390;3
6070;ГОСТ 8732 219х 6 ст09Г2С 7304399390;2
6075;ГОСТ 8732 219х 6 ст20 7304399390;0
6079;ГОСТ 8732 219х 8 ст20 7304399390;1
6082;ГОСТ 8732 219х10 ст20 7304399390;0
6084;ГОСТ 8732 219х12 ст20 7304399390;0
6090;ГОСТ 8732 219х18 ст20 7304399390;0
6093;ГОСТ 8732 219х22 ст20 7304399390;0
6100;ГОСТ 8732 219х30-45 ст20 7304399390;0
6118;ГОСТ 8732 219х22 ст35 7304399290;1
6120;ГОСТ 8732 219х25 ст35 7304399390;2
6125;ГОСТ 8732 219х36 ст45 7304399390;0
6130;ГОСТ 8732 219х50 ст45 7304399390;0
6141;ГОСТ 8732 245х 8 ст20 7304399390;0
6151;ГОСТ 8732 245х20 ст20 7304399390;1
6174;ГОСТ 8732 245х20 ст45 7304399390;0
6186;ГОСТ 8732 245х60 ст45 7304399390;0
6188;ГОСТ 8732 273х28 ст09Г2С 7304399390;0
6195;ГОСТ 8732 273х 9 ст20 7304399390;19
6199;ГОСТ 8732 273х12 ст20 7304399390;0
6205;ГОСТ 8732 273х18 ст20 7304399390;0
6214;ГОСТ 8732 273х30 ст20 7304399390;0
6219;ГОСТ 8732 273х36 ст20 7304399390;0
6228;ГОСТ 8732 273х60 ст20 7304399390;0
6232;ГОСТ 8732 273х36 ст35 7304399390;0
6236;ГОСТ 8732 273х30 ст45 7304399390;0
6242;ГОСТ 8732 273х45 ст45 7304399390;0
6252;ГОСТ 8732 299х36 ст09Г2С 7304399390;0
6258;ГОСТ 8732 299х12 ст20 7304399390;0
6262;ГОСТ 8732 299х16 ст20 7304399390;0
6265;ГОСТ 8732 299х20 ст20 7304399390;0
6273;ГОСТ 8732 299х40 ст20 7304399390;2
6277;ГОСТ 8732 299х50 ст20 7304399390;2
6298;ГОСТ 8732 325х 7 ст20 7304399390;0
6303;ГОСТ 8732 325х10 ст20 7304399390;2
6311;ГОСТ 8732 325х18 ст20 7304399390;0
6329;ГОСТ 8732 325х50 ст20 7304399390;0
6337;ГОСТ 8732 325х20 ст35 7304399390;0
6343;ГОСТ 8732 325х30 ст45 7304399390;0
6348;ГОСТ 8732 325х45 ст45 7304399390;0
6358;ГОСТ 8732 351х14 ст20 7304399390;0
6380;ГОСТ 8732 351х30 ст45 7304399390;2
6385;ГОСТ 8732 377х 9 ст20 7304399390;2
6389;ГОСТ 8732 377х12 ст20 7304399390;0
6393;ГОСТ 8732 377х16 ст20 7304399390;0
6397;ГОСТ 8732 377х20 ст20 7304399390;4
6405;ГОСТ 8732 377х32 ст20 7304399390;0
6427;ГОСТ 8732 377х45 ст45 7304399390;0
6430;ГОСТ 8732 377х70 ст45 7304399390;1
6438;ГОСТ 8732 114х 4 ст20 7304399290;0
6440;ГОСТ 8732 114х 5 ст20 7304399290;0
6443;ГОСТ 8732 114х 6 ст20 7304399290;0
6448;ГОСТ 8732 114х 8.5 ст20 7304399290;0
6453;ГОСТ 8732 114х12 ст20 7304399290;0
6461;ГОСТ 8732 114х18 ст20 7304399290;0
6472;ГОСТ 8732 114х18 ст35 7304399290;0
6479;ГОСТ 8732 108х 8 ст09Г2С 7304399290;0
6500;ГОСТ 8732 108х12 ст20 7304399290;0
6510;ГОСТ 8732 108х22 ст20 7304399290;0
6517;ГОСТ 8732 108х14 ст35 7304399290;0
6528;ГОСТ 8732 102х 4 ст09Г2С 7304399290;0
6530;ГОСТ 8732 102х 6 ст09Г2С 7304399290;10
6537;ГОСТ 8732 102х 4 ст20 7304399290;0
6549;ГОСТ 8732 102х10 ст20 7304399290;0
6557;ГОСТ 8732 102х18 ст20 7304399290;0
6562;ГОСТ 8732 102х24 ст20 7304399290;0
6569;ГОСТ 8732 102х24 ст35 7304399290;0
6576;ГОСТ 8732 95х 8 ст09Г2С 7304399290;0
6587;ГОСТ 8732 95х 8 ст20 7304399290;21
6601;ГОСТ 8732 95х18 ст20 7304399290;4
6611;ГОСТ 8732 95х10 ст35 7304399290;0
6615;ГОСТ 8732 95х16 ст35 7304399290;0
6626;ГОСТ 8732 89х 3.5 ст10 7304399290;0
6633;ГОСТ 8732 89х 3.5 ст20 7304399290;0
6647;ГОСТ 8732 89х10 ст20 7304399290;1
6650;ГОСТ 8732 89х12 ст20 7304399290;0
6653;ГОСТ 8732 89х15 ст20 7304399290;0
6657;ГОСТ 8732 89х18 ст20 7304399290;0
6664;ГОСТ 8732 89х 6 ст35 7304399290;1
6669;ГОСТ 8732 89х18 ст35 7304399290;1
6671;ГОСТ 8732 89х 5 ст45 7304399290;0
6676;ГОСТ 8732 89х14 ст45 7304399290;0
6685;ГОСТ 8732 83х12 ст10 7304399290;0
6695;ГОСТ 8732 83х10 ст20 7304191090;0
6715;ГОСТ 8732 83х12 ст35 7304399290;0
6721;ГОСТ 8732 83х16 ст45 7304399290;0
6727;ГОСТ 8732 76х 4 ст10 7304399290;0
6732;ГОСТ 8732 76х 3 ст20 7304399290;0
6735;ГОСТ 8732 76х 4 ст20 7304399290;0
6741;ГОСТ 8732 76х 6 ст20 7304399290;0
6751;ГОСТ 8732 76х14 ст20 7304399290;0
6759;ГОСТ 8732 76х10 ст35 7304399290;0
6772;ГОСТ 8732 73х 6 ст10 7304399290;0
6777;ГОСТ 8732 73х 5 ст20 7304399290;1
6781;ГОСТ 8732 73х 8 ст20 7304399290;1
6786;ГОСТ 8732 73х12 ст20 7304399290;0
6790;ГОСТ 8732 73х15 ст20 7304399290;2
6805;ГОСТ 8732 73х 5 ст45 7304399290;0
6811;ГОСТ 8732 70х 4.5 ст20 7304399290;0
6843;ГОСТ 8732 68х 7 ст20 7304399290;0
6848;ГОСТ 8732 68х10 ст20 7304399290;0
6861;ГОСТ 8732 60х 4 ст10 7304399290;0
6865;ГОСТ 8732 60х 6.5 ст10 7304399290;0
6874;ГОСТ 8732 60х 4 ст20 7304399290;0
6879;ГОСТ 8732 60х 5.54 ст20 7304399290;0
6885;ГОСТ 8732 60х 8 ст20 7304399290;0
6889;ГОСТ 8732 60х10.5 ст20 7304399290;0
6900;ГОСТ 8732 57х 4 ст09Г2С 7304399290;0
6907;ГОСТ 8732 57х 3 ст20 7304399290;0
6909;ГОСТ 8732 57х 4 ст20 7304399290;0
6912;ГОСТ 8732 57х 5 ст20 7304399290;0
6935;ГОСТ 8732 51х 3.5 ст20 7304399290;0
6938;ГОСТ 8732 51х 5 ст20 7304399290;0
6944;ГОСТ 8732 48х 3 ст20 7304399290;0
6953;ГОСТ 8732 45х 3.5 ст20 7304399290;0
6966;ГОСТ 8732 42х 3.5 ст20 7304399290;0
6969;ГОСТ 8732 42х 4.5 ст20 7304399290;0
6983;ГОСТ 8732 48.3х 3 ст20 7304399290;0
7003;ГОСТ 8732 63.5х 3.5 ст10 7304399290;0
7009;ГОСТ 8732 63.5х14 ст10 7304399290;0
7011;ГОСТ 8732 63.5х 4 ст20 7304399290;7
7018;ГОСТ 8732 63.5х 8 ст20 7304399290;0
7047;ГОСТ 8732 33.7х 4.5 ст20 7304399290;0
7053;ГОСТ 8732 32х 4 ст20 7304399290;0
7066;ГОСТ 8732 38х 5 ст20 7304399290;0
7075;ГОСТ 8732 60.3х 8 ст10 7304399290;0
7082;ГОСТ 8732 426х10 ст20 7304399890;0
7093;ГОСТ 8732 426х25 ст20 7304399890;1
7098;ГОСТ 8732 426х40 ст20 7304399890;0
7101;ГОСТ 8732 426х50 ст20 7304399890;0
7114;Труба проф. 180х60х 6 ст09Г2С 7304900000;5
7117;Труба проф. 180х60х 8 ст20 7304900000;1
7144;ГОСТ 8734 25х2.3 ст10 7304318090;0
7158;ГОСТ 8734 25х3.5 ст35 7304318090;0
7172;ГОСТ 8734 30х 3 ст20 7304318090;0
7185;ГОСТ 8734 32х 3 ст10 7304318090;0
7188;ГОСТ 8734 32х 1.5 ст20 7304318090;0
7193;ГОСТ 8734 32х 3.5 ст20 7304318090;0
7195;ГОСТ 8734 32х 4.5 ст20 7304318090;0
7206;ГОСТ 8734 35х 5 ст10 7304318090;0
7213;ГОСТ 8734 38х 4 ст20 7304318090;0
7226;ГОСТ 8734 48.3х10 ст17Г1С 7304318090;1
7229;ГОСТ 8734 48.3х 4 ст20 7304318090;0
7238;ГОСТ 8734 40х10 ст20 7304318090;0
7247;ГОСТ 8734 45х 8 ст20 7304318090;0
7259;ГОСТ 8734 48х10 ст10 7304318090;0
7261;ГОСТ 8734 48х 4 ст20 7304318090;0
7264;ГОСТ 8734 48х 8 ст20 7304318090;0
7271;ГОСТ 8734 50х 6 ст20 7304318090;0
7282;ГОСТ 8734 51х 3 ст20 7304318090;0
7288;ГОСТ 8734 51х10 ст20 7304318090;1
7290;ГОСТ 8734 51х12.5 ст20 7304318090;2
7300;ГОСТ 8734 54х10 ст45 7304318090;0
7305;ГОСТ 8734 57х 2 ст10 7304318090;0
7307;ГОСТ 8734 57х 5.5 ст10-20 7304318090;0
7328;ГОСТ 8734 62х 4 ст20 7304318090;1
7359;ГОСТ 8734 73х 4 ст10 7304318090;0
7367;ГОСТ 8734 76х 5 ст45 7304318090;0
7382;ГОСТ 8734 27х 4 ст20 7304318090;0
7385;ГОСТ 8734 27х 7 ст20 7304318090;0
7395;ГОСТ 8734 42х 4 ст10 7304318090;0
7397;ГОСТ 8734 42х 3.5 ст20 7304318090;0
7399;ГОСТ 8734 42х 5 ст20 7304318090;0
7407;ГОСТ 8734 42х 7 ст45 7304318090;0
7433;Труба проф. 120х120х 5 ст09Г2С 7304900000;3
7435;Труба проф. 120х120х 8 ст09Г2С 7304900000;3
7437;Труба проф. 120х120х 5 ст20 7304900000;2
7439;Труба проф. 120х120х 6 ст20 7305310090;3
7442;Труба проф. 120х120х10 ст20 7304900000;3
7445;Труба проф. 120х120х 9 ст35 7304900000;0
7447;Труба проф. 100х100х 6 ст09Г2С 7304900000;2
7449;Труба проф. 100х100х10 ст09Г2С 7304900000;0
7451;Труба проф. 100х100х 6 ст20 7304900000;11
7455;Труба проф. 100х100х10 ст20 7304900000;0
7458;Труба проф. 100х100х 8 ст35 7304900000;4
7461;Труба проф. 110х110х 6 ст20 7304900000;6
7463;Труба проф. 140х140х 5 ст09Г2С 7304900000;0
7465;Труба проф. 140х140х 8 ст09Г2С 7304900000;4
7467;Труба проф. 140х140х12 ст09Г2С 7304900000;0
7470;Труба проф. 140х140х 8 ст20 7304900000;18
7472;Труба проф. 140х140х12 ст20 7304900000;0
7479;Труба проф. 150х150х 8 ст09Г2С 7304900000;0
7481;Труба проф. 150х150х12 ст09Г2С 7304900000;5
7483;Труба проф. 150х150х 8 ст20 7304900000;5
7485;Труба проф. 150х150х12 ст20 7304900000;1
7488;Труба проф. 160х160х 8 ст09Г2С 7304900000;2
7490;Труба проф. 160х160х12 ст09Г2С 7305310090;2
7492;Труба проф. 160х160х 8 ст20 7304900000;4
7494;Труба проф. 160х160х12 ст20 7304900000;13
7497;Труба проф. 180х180х 8 ст09Г2С 7304900000;5
7499;Труба проф. 180х180х12 ст09Г2С 7304900000;15
7501;Труба проф. 180х180х 7 ст20 7304900000;4
7503;Труба проф. 180х180х10 ст20 7304900000;1
7505;Труба проф. 180х180х10 ст35 7304900000;8
7507;Труба проф. 200х200х10 ст09Г2С 7304900000;0
7509;Труба проф. 200х200х 8 ст20 7304900000;10
7511;Труба проф. 200х200х12 ст20 7304900000;7
7514;Труба проф. 90х90х 6 ст09Г2С 7304900000;0
7516;Труба проф. 90х90х 6 ст20 7304900000;5
7518;Труба проф. 90х90х 8 ст20 7304900000;3
7520;Труба проф. 80х80х 4 ст09Г2С 7304900000;4
7522;Труба проф. 80х80х 6 ст09Г2С 7304900000;0
7524;Труба проф. 80х80х10 ст09Г2С 7304900000;17
7526;Труба проф. 80х80х 4,5 ст20 7304900000;3
7528;Труба проф. 80х80х 6 ст20 7304900000;13
7531;Труба проф. 80х80х10 ст20 7304900000;21
7533;Труба проф. 80х80х 8 ст35 7304900000;3
7536;Труба проф. 70х70х 4 ст20 7304900000;2
7538;Труба проф. 70х70х 6 ст20 7304900000;7
7541;Труба проф. 60х60х 4 ст09Г2С 7304900000;3
7543;Труба проф. 60х60х 6 ст09Г2С 7304900000;5
7545;Труба проф. 60х60х 5 ст20 7304900000;4
7548;Труба проф. 60х60х 5 ст35 7304900000;4
7550;Труба проф. 50х50х 4 ст09Г2С 7304900000;3
7552;Труба проф. 50х50х 6 ст09Г2С 7304900000;5
7554;Труба проф. 50х50х 5 ст20 7304900000;5
7556;Труба проф. 50х50х 4 ст35 7304900000;0
7558;Труба проф. 42х42х 5 ст20 7304900000;2
7560;Труба проф. 40х40х 3 ст09Г2С 7304900000;0
7562;Труба проф. 40х40х 5 ст09Г2С 7304900000;3
7564;Труба проф. 40х40х 4 ст20 7304900000;1
7566;Труба проф. 40х40х 5 ст20 7304900000;0
7569;Труба проф. 120х100х 6 ст20 7304900000;3
7571;Труба проф. 120х100х10 ст20 7304900000;4
7573;Труба проф. 120х80х 6 ст09Г2С 7304900000;8
7576;Труба проф. 120х80х 5 ст20 7304900000;9
7578;Труба проф. 120х80х 8 ст20 7304900000;11
7581;Труба проф. 120х60х 6 ст09Г2С 7304900000;3
7583;Труба проф. 120х60х 5 ст20 7304900000;15
7585;Труба проф. 120х60х 8 ст20 7304900000;1
7588;ГОСТ 8734 44.5х 7.1 ст17Г1С 7304318090;0
7591;Труба проф. 100х80х 5 ст09Г2С 7304900000;0
7593;Труба проф. 100х80х 5 ст20 7304900000;6
7595;Труба проф. 100х80х 8 ст20 7304900000;3
7597;Труба проф. 100х60х 4 ст09Г2С 7304900000;0
7599;Труба проф. 100х60х 8 ст09Г2С 7304900000;2
7601;Труба проф. 100х60х 5 ст20 7304900000;3
7603;Труба проф. 100х60х 8 ст20 7304900000;3
7605;Труба проф. 100х50х 6 ст09Г2С 7304900000;1
7608;Труба проф. 100х50х 6 ст20 7304900000;13
7611;Труба проф. 100х50х 6 ст35 7304900000;1
7613;Труба проф. 80х60х 5 ст20 7304900000;1
7615;Труба проф. 80х60х 6 ст20 7304900000;4
7617;Труба проф. 80х60х 5 ст35 7304900000;10
7620;Труба проф. 80х40х 5 ст09Г2С 7304900000;1
7622;Труба проф. 80х40х 4 ст20 7304900000;2
7624;Труба проф. 80х40х 5.5 ст20 7304900000;1
7627;Труба проф. 70х50х 4 ст09Г2С 7304900000;2
7629;Труба проф. 70х50х 6 ст09Г2С 7304900000;3
7632;Труба проф. 70х50х 5 ст20 7304900000;15
7634;Труба проф. 70х50х 4 ст35 7304900000;2
7636;Труба проф. 70х50х 6 ст35 7304900000;4
7638;Труба проф. 160х80х10 ст09Г2С 7304900000;2
7640;Труба проф. 160х80х 6 ст20 7304900000;15
7642;Труба проф. 160х80х10 ст20 7304900000;5
7644;Труба проф. 160х100х6 ст09Г2С 7304900000;6
7646;Труба проф. 160х100х5 ст20 7304900000;3
7648;Труба проф. 160х100х8 ст20 7304900000;4
7650;Труба проф. 160х120х 6 ст09Г2С 7304900000;1
7652;Труба проф. 160х120х 5 ст20 7304900000;0
7655;Труба проф. 160х120х 8 ст20 7304900000;4
7657;Труба проф. 160х140х 6 ст20 7304900000;2
7659;Труба проф. 200х150х 6 ст09Г2С 7304900000;1
7661;Труба проф. 200х150х10 ст09Г2С 7304900000;4
7664;Труба проф. 200х150х10 ст20 7304900000;12
7670;Труба проф. 200х160х10 ст09Г2С 7304900000;1
7672;Труба проф. 200х160х 8 ст20 7304900000;4
7675;Труба проф. 200х100х 6 ст09Г2С 7304900000;0
7677;Труба проф. 200х100х10 ст09Г2С 7304900000;3
7679;Труба проф. 200х100х 8 ст20 7304900000;12
7681;Труба проф. 200х100х12 ст20 7304900000;0
7684;Труба проф. 180х100х10 ст09Г2С 7304900000;6
7686;Труба проф. 180х100х 8 ст20 7304900000;7
7688;Труба проф. 180х100х12 ст20 7304900000;4
7691;Труба проф. 180х140х 8 ст09Г2С 7304900000;0
7693;Труба проф. 180х140х 8 ст20 7304900000;1
7695;Труба проф. 100х40х 5 ст20 7304900000;0
7697;Труба проф. 100х70х 6 ст09Г2С 7304900000;7
7699;Труба проф. 100х70х 6 ст20 7304900000;2
7701;Труба проф. 150х100х 6 ст09Г2С 7304900000;0
7703;Труба проф. 150х100х10 ст09Г2С 7304900000;3
7705;Труба проф. 150х100х 6 ст20 7304900000;15
7707;Труба проф. 150х100х10 ст20 7304900000;14
7709;Труба проф. 150х140х10 ст09Г2С 7304900000;0
7711;Труба проф. 140х100х 5 ст20 7304900000;4
7713;Труба проф. 140х100х 8 ст20 7304900000;1
7716;Труба проф. 140х120х 6 ст09Г2С 7304900000;3
7718;Труба проф. 140х120х 6 ст20 7304900000;5
7720;Труба проф. 140х80х 5 ст09Г2С 7304900000;3
7723;Труба проф. 140х80х 5 ст20 7304900000;5
7725;Труба проф. 140х80х 8 ст20 7304900000;1
7727;Труба проф. 160х110х 6.3 ст20 7304900000;0
7729;Труба проф. 160х90х 8 ст20 7304900000;5
7731;Труба проф. 210х100х 8 ст09Г2С 7304900000;2
7733;Труба проф. 140х60х 8 ст09Г2С 7304900000;0
7735;Труба проф. 140х60х 6 ст20 7304900000;4
7737;Труба проф. 250х110х 8 ст09Г2С 7304900000;12
7739;Труба проф. 250х110х 8 ст20 7304900000;15
7741;Труба проф. 60х40х 4 ст09Г2С 7304900000;3
7743;Труба проф. 60х40х 4 ст20 7304900000;2
7745;Труба проф. 60х40х 6 ст20 7304900000;1
7747;Труба проф. 60х40х 5 ст35 7304900000;10
7774;Труба проф. 280х160х 8 ст20 7304900000;0
7785;Труба проф. 90х50х6 ст20 7304900000;9
7797;Труба проф. 61.5х61.5х 8 ст20 7304900000;1
7801;Труба проф. 80х50х 6 ст09Г2С 7304900000;1
7803;Труба проф. 80х50х 5 ст20 7304900000;3
7809;ГОСТ 8734 22х4 ст20 7304318090;0
7817;ГОСТ 8734 21х 2 ст20 7304318090;0
7823;ГОСТ 8734 21х 6.5 ст20 7304318090;0
7825;ГОСТ 8734 21х 7.5 ст20 7304318090;0
7838;Труба проф. 303х303х10 ст20 7304900000;6
7841;ГОСТ 8734 33.4х 9 ст20 7304318090;0
7845;Труба проф. 220х220х12 ст20 7304900000;1
7848;Труба проф. 220х140х 8 ст20 7304900000;4
7879;Труба проф. 403х203х10 ст09Г2С 7304900000;5
7907;ГОСТ 8734 36х 5 ст10 7304318090;0
7916;ГОСТ 8734 17х 3 ст10 7304318090;0
7920;ГОСТ 8734 17х 3 ст35 7304318090;1
7939;ГОСТ 8734 25.4х2 ст10 7304318090;0
7941;ГОСТ 8734 19х2.5 ст20 7304318090;0
7947;ГОСТ 8734 15х4.5 ст10 7304318090;2
7949;ГОСТ 8734 15х4 ст20 7304318090;0
7952;ГОСТ 8734 23х2.5 ст20 7304318090;0
7984;Труба проф. 220х100х8 ст20 7304900000;5
8016;Труба проф. електрозварна 401х201-205х10 ст3пс 7304900000;1
8031;ГОСТ 8732 406х10 ст20 7304399390;0
8042;ГОСТ 8732 406х60 ст20 7304399390;1
8054;Труба проф. 180х120х 8 ст20 7304900000;3
8083;Труба проф. 150х90х 6 ст20 7304900000;3
8087;Труба проф. 160х60х 6 ст20 7304900000;2
8107;Труба проф. 260х180х10 ст20 7304900000;2
8137;Арматура 12мм   _1;0
8179;ГОСТ 8732 50х 3 ст20 7304399290;0
8193;ГОСТ 8732 505х30-32 ст10-20 7304;0
8208;ГОСТ 8732 34х 2 ст20 7304399290;0
8215;Труба проф. 77х77х10 ст20 7304900000;0
8217;Труба проф. 150х80х 6 ст20 7304900000;6
8219;Труба проф. 150х80х10 ст20 7304900000;4
8221;Труба проф. 110х60х 6 ст20 7304900000;5
8234;Труба проф. 240х160х10 ст20 7304900000;6
8239;Труба проф. 300х200х10 ст09Г2С 7304900000;1
8242;Труба проф. 300х200х 9 ст20 7304900000;4
8244;Труба проф. 180х80х 5 ст20 7304900000;8
8246;Труба проф. 180х80х 7 ст20 7304900000;3
8248;Труба проф. 180х150х 8 ст20 7304900000;5
8250;Труба проф. 180х150х12 ст20 7304900000;7
8252;Труба проф. 250х150х10 ст09Г2С 7304900000;1
8254;Труба проф. 250х150х10 ст20 7304900000;7
8480;Труба проф. 200х80х 6 ст09Г2С 7304900000;0
8482;Труба проф. 200х80х 6 ст20 7304900000;10
8487;ГОСТ 8732 530х 8 ст10-20 7304399890;0
8510;Труба проф. 309х306х10 ст20 7304900000;1
8661;Труба проф. електрозварна 360х250х10 ст3пс 7304900000;1
8785;ГОСТ 8732 42х 2.6 ст20 7304399290;0
8791;ГОСТ 8732 102х20 ст35 7304399290;0
8793;ГОСТ 8732 152х36 ст45 7304399290;1
8797;Катанка 5,5мм ст SAE;2
8801;тр. 60*60 *4;0
8803;JUT Agrass POPULAR 15/140.4х25 (покриття тафтингов;40
8807;Металлопластиковые изделия;19
8809;ЕТІКА Розетка 2к+3, білий;46
8811;Keraflex Extra S1 Grey/25 - Керафлекс Екстра С1, сірий (Польща);10
8815;Бланк Карта спецодяг;66
8817;БЛОКконтактный;7
8820;"Вимикач-роз""єднувач ВР32И250А";1
8822;Втулка;4
8824;Выключатель 1кл.Meridian;2
8826;Выключатель кинцев.ВУ-22-2Б;1
8828;Гофротруба двухшар.KF 09040 UVFA;4
8830;Грес ФИНВУД Вайт 18,5х59,8;20
8834;Запобижник ПН111-10-10-20У1;2
8837;Ізолента ПВХ 50м.;7
8839;КАБЕЛЬ ВВГнг 3х1,5;0
8843;Камутатор;1
8848;Колесо зубчатое;4
8850;КОЛОДКА торм.ТКТ-2000;2
8852;Контакт для пускателя ПМА-5000;6
8854;Контакт до ПМА - 4100 рух.;3
8856;Контакт к ПМА-4000 С (рухомий);15
8858;Контакт КТ/КТП 6010 рух.;3
8860;Контактор зм.стр.NC1-2510220V;1
8862;Контакторзм.стр.NSH8-20/20;0
8864;Крепления руля;1
8866;КРЫШКА кранового колеса;2
8868;ЛЕНТА огражд.75х0,045;200
8871;МАСЛО индустр.1-20А;0
8873;Металлорукав;48
8875;Нож обрезной;1
8878;ПАНЕЛЬ;5
8882;Подвес пр.ун.60х125уп.10шт(22паков);22
8884;Подшипник;22
8886;Подшипник 210;2
8888;Подшипник 3524;2
8890;Полумуфта двигателя Кр.козл. 1;5
8892;Полумуфта кулачкова 10.07;2
8894;ПРОВОД ШВВП 2х2,5;0
8896;ПРОВОД ШВВП3х2,5;0
8900;Пускатель ПМА3100 380В;0
8902;Разьем с загл.;0
8905;РЕМЕНЬ;2
8910;Розетка с з/к с з/ш с крышкой Meridian;4
8916;Светильник 18W 4200К LED;2
8918;Свеча;7
8924;Стекло триплекс;1
8927;СТРОП 4СК в/п 10т2,0м;1
8930;Строп в/п 4,0тн 5000;2
8932;СТРОП ВК 4,0;5
8936;Труба гофрована ПВХ (черная) д20;315
8939;Угол внутр.;7
8941;Уголок МДФ универс.Дуб;15
8943;Фланец зубчатый Кр.козл. №1Т.09.06;3
8945;Шкив тормозной 08.06;1
8948;Шкив тормозной 09.12;1
8950;Шкив тормозной 10.11;2
8952;Шпули;2
8955;Щетка М-1 10х25х32 к1;18
8957;Эл.щетка МГ 12,5х32х40;14
8959;Эмаль пентафл.коричневая (2,8кг);1
8961;Эмаль ПФ-115 К серая (12кг);1
8965;Нож райдера 5796525-10;6
8970;ЭгозаКазачка;46
8977;Лист 16;0
8979;Лист 63;0
8981;ЛИСТ г/к б-30мм;2
9014;ГОСТ 8732 159х25 ст45 7304399290;4
9018;Бокс для автомобіля літера Е(22,3кв.м.);1
9020;Нежитлове приміщення 7 поверх. приміщення №701,702,703,704  (569,8 м2);1
9023;Манометр МТП-60С 4,5м;2
9048;АИ -95;105
