Код компании;Наименование компании
28;А ПЛЮС ТРЕЙД  ТОВ С-2 порез.по письму!-26.09.25
34;Абсолют-Сталь ООО С-2
36;АВ МЕТАЛЛ ГРУПП ТОВ
45;Авант  ТК ООО С-2
58;Аверс-Агро ООО А-2
64;Авилон ООО НПП
71;АВЛ-ТРЕЙД ООО
82;АВС-ТРОИЦА ЧП
84;АВТОГАЗ ЦЕНТР ТОВ
113;АВТОСТАР ЧП С-2
114;Автострой плюс ООО
128;Агатис ТСК ООО С-2
134;АГРА ЧФ  С-1
144;АГРО ВАЛЕКС ООО не плат. С-1
150;Агро Металло Сервис ООО В-2
152;Агро Партнери  ТД   ТОВ С-2
153;ПОЛІ ПЛАСТ ТОВ
154;Агро пром сфера ООО С-2
167;Агродеталь ПВКП  С-1
169;Агро-Днепр почта ООО С-2
177;Агрокуб ТОВ С-2
178;Агроленд-запчасть ООО С-1 ГОД Д
180;Клиент 180
185;Агромаш-Калина ООО  С2
206;Клиент 206
213;Агропромтехника Никопольская рай-я ОАО С-2
226;Агросистема Плюс Машзавод С-2
249;АГРОТЕХ  Ореховский  А-3
252;Агротехкомплект ЧП  В-2
254;Агротехмаш ПТП ООО  С-2
265;Агротехэкспорт ООО  С-2
276;Агроцентр К ООО С-2
288;Адамант ООО НВП  С-2
291;СОНДЕРС ТОВ
296;АДОНІС-УКРАЇНА ТОВ С-2
299;АЖИО-ТРЕЙДС ТОВ
333;Айзен техник групп ООО С-1
337;Айнект ТК ООО С-2
338;Клиент 338
349;Клиент 349
370;Клиент 370
374;Клиент 374
395;Аланко груп ТОВ
403;АЛГА ДНЕПР ООО С-2
413;Александрийская Машиностроит-ная группа С1
415;Александрийский з-д под-трансп.обор ОООС-2
421;Клиент 421
423;АЛЕКСЕЕВ С.Ю.   аренда
427;Алекспром ООО
428;АЛЕКС-ПРОММ ТОВ оренда
452;АЛТЕРРА ГРУПП
455;Алькат ТД ООО  С-2
468;Клиент 468
489;Альфа-Металл-Компани ООО А-1
490;Клиент 490
491;АЛЬФА-СТАЛЬ ООО С-2
493;Альфа-СтальЧП С-2
496;Альфатекс ВКП ПП С-2
500;Альянс ЕМК  ООО С-2
506;АЛЬЯНС ООО  А-3
508;АЛЬЯНС ПК ТД ООО С-2
518;Альянс-Маркет ЧП  В2
530;АМБАР ТОВ ТВК
536;А-МЕТИС ООО С-2
558;АНА-ТЕМС ЗАО
559;Анбар ООО С-2
579;Клиент 579
590;АНТЕО ПЛЮС. ТОВ С-2
600;Клиент 600
607;Апком-Трейдинг ООО  С-2
621;АРГО НПП ООО А-2
629;Клиент 629
631;Клиент 631
632;АРК ООО В-2
635;АРК-ГРУПП ТОВ С-2
641;Арлан ООО   С1
648;Армакс Груп  ТОВ
650;АрмаПром ООО(КИЕВ)  В-1
653;Армасплав ООО Доверен.ГОДОВАЯ В-2
657;Клиент 657
658;Арма-Т ООО  В-2
660;Арматура ВКМ ООО  В1
663;Арматурный завод АДМИРАЛ ООО  С-1
676;Клиент 676
677;Арсенал НВО  ТОВ
703;Клиент 703
705;Артмаш ООО  С-1
714;Клиент 714
720;Клиент 720
721;АСКА-Девелопмент  ТОВ
751;АСТРА ТРЕЙДИНГ ООО  С-2 днепр
752;Клиент 752
785;АТП 17461 ЧАО  С-2
818;База стальных труб ООО ГОД Д С2
822;БАЗИС ГК ООО С-2 ГОДД
851;Барион ООО  С-2
917;Бест металл КР ТД ООО С-1
943;Клиент 943
956;Биржа металла Ком-я ООО В-2
965;Клиент 965
981;Богдан МІД  ПП С-2 не раб.
983;БОГИС к-я ЧП МТО С-2
999;Бондаренко А.В. ФОП
1009;Бориславский завод РЕМА ТДВ В-2
1016;БОЧАРОВ МЕТАЛОБАЗА ТОВ
1021;Бравалюр ТОВ ВТП  С-2
1026;Брацлав ТДВ С-2
1028;Клиент 1028
1048;БУД МЕТАЛ ТОВ
1114;Клиент 1114
1116;Буровые машины и комплексы ООО С2
1140;ВАКАРТ ТОВ  С-2
1143;ВАЛ ООО  С-2
1145;ВАЛЕН И К ООО  С-2
1149;Клиент 1149
1153;ВАЛСИМЕТ ООО С-1 ГОД Д
1156;ВАНКОРГРУПП ООО С-2
1160;Вариант агро буд ООО  ЗВОНИТЬ !!! В-2
1161;ВАРИАНТ Фабрика  ООО  А-2 месяц дов
1164;ВАРТИС ООО А-1 НЕ КРЕДИТОВАТЬ
1169;Василишин Т.М. платник  С-2
1209;Вектор-08 ПП ООО  С-1
