code;name
10035;Порізка труб ( ДКПП 25.62.20-00.00)
14144;GB/T 8162:2018 76х10 ст20
10595;ДСТУ 8938:2019 42х 5 ст20
7697;Труба проф. 100х70х 6 ст09Г2С
11876;ГОСТ 8734 89х10 ст20
14041;ДСТУ 8938:2019 108х12 ст20
10696;ДСТУ 8938:2019 38х 3 ст20
10697;ДСТУ 8938:2019 57х 3.5 ст20
11651;ГОСТ 8732 38х 3 ст20
7579;Труба проф. 120х80х10 ст20
13971;GB/T 8162:2018 102х10 ст20
10842;ДСТУ 8938:2019 95х22 ст45
13648;ДСТУ 8938:2019 168х22 ст20
13732;ДСТУ 8938:2019 102х18 ст45
14760;ДСТУ 8938:2019 73х12 ст35
14679;GB/T 8162:2018 76х 8 ст20
8520;Порізка 10 різов ( ДКПП 25.62.20-00.00)
10640;ДСТУ 8938:2019 60х 5 ст20
11094;ДСТУ 8938:2019 33.7х 3.5 ст20
11695;ГОСТ 8734 22х5 ст20
14379;ДСТУ 8938:2019 203х25 ст20
14246;GB/T 8162:2018 70х10  ст20
14247;GB/T 8162:2018 60х10 ст20
14819;ГАРЯЧА GB/T 8162:2018 50х10 ст20
14689;ДСТУ 8938:2019 95х 8 ст20
7546;Труба проф. 60х60х 6 ст20
14419;GB/T 8162:2018 60х14 ст20
7679;Труба проф. 200х100х 8 ст20
10709;ДСТУ 8938:2019 108х10 ст20
13899;GB/T 8162:2018 108х10 ст20
13563;ДСТУ 8938:2019 60х 4.5 ст20
13809;GB/T 8162:2018 50х 6 ст20
14907;ГАРЯЧА  GB/T 8162:2018 60х 5 ст20
14911;ГАРЯЧА GB/T 8162:2018 73х 5 ст20
11811;ДСТУ 8939:2019 32х 6 ст20
10802;ДСТУ 8938:2019 32х 3.5 ст20
12367;ДСТУ 8938:2019 70х16 ст20
12949;ГОСТ 8732 159х10 ст20
14490;ДСТУ 8938:2019 95х16 ст20
14916;ГАРЯЧА GB/T 8162:2018 89х 6 ст20
10790;ДСТУ 8938:2019 48.3х 3.5 ст20
14915;ГАРЯЧА GB/T 8162:2018 89х 5 ст20
8572;Порізка  6 різов( ДКПП 25.62.20-00.00)
10789;ДСТУ 8938:2019 45х 3 ст20
14123;GB/T 8162:2018 42х 3 ст20
14055;GB/T 8162:2018 42х 4 ст20
14129;GB/T 8162:2018 22х 4 ст20
14831;ГАРЯЧА GB/T 8162:2018 34х 4 ст20
14969;ГАРЯЧА GB/T 8162:2018 102х 8 ст20
7515;Труба проф. 90х90х 5 ст20
11950;ГОСТ 8732 133х14 ст20
14811;ГАРЯЧА GB/T 8162:2018 34х 6 ст20
13959;GB/T 8162:2018 65х 4 ст20
13851;1ДСТУ 8938:2019 180х 6 ст20
14847;ГАРЯЧА GB/T 8162:2018 76х 3 ст20
10599;ДСТУ 8938:2019 51х 3 ст20
13857;GB/T 8162:2018 45х 8 ст20
10573;ДСТУ 8938:2019 60х 4 ст20
10586;ДСТУ 8938:2019 89х 4 ст20
10587;ДСТУ 8938:2019 76х 4 ст20
10558;ДСТУ 8938:2019 57х 4 ст20
10604;ДСТУ 8938:2019 76х 3.5 ст20
10694;ДСТУ 8938:2019 219х40 ст20
13706;ДСТУ 8938:2019 140х30 ст20
14894;ДСТУ 8938:2019 325х45 ст20
10841;ДСТУ 8938:2019 140х 5 ст20
14667;GB/T 8162:2018 40х 5 ст20
10755;ДСТУ 8938:2019 89х16 ст20
11888;ДСТУ 8939:2019 114х20 ст20
10734;ДСТУ 8938:2019 70х 6 ст20
14794;ГАРЯЧА GB/T 8162:2018 14х 2 ст20
14571;EN 10210-1:2006 298.5х 8 стS355J2H
10583;ДСТУ 8938:2019 51х 2.5 ст20
7479;Труба проф. 150х150х 8 ст09Г2С
7703;Труба проф. 150х100х10 ст09Г2С
7801;Труба проф. 80х50х 6 ст09Г2С
7804;Труба проф. 80х50х 6 ст20
13823;GB/T 8162:2018 51х 6 ст20
14235;Труба проф. 140х140х 8 стS355J2H
14302;Труба проф. 200х80х 8 стS355J2H
14135;GB/T 8162:2018 30х 6 ст20
7713;Труба проф. 140х100х 8 ст20
10567;ДСТУ 8938:2019 89х14 ст20
13956;GB/T 8162:2018 60х12 ст20
14488;ДСТУ 8938:2019 83х18 ст20
14682;ДСТУ 8938:2019 89х22 ст20
14658;GB/T 8162:2018 27х 5 ст20
10600;ДСТУ 8938:2019 60х 3 ст20
7803;Труба проф. 80х50х 5 ст20
7465;Труба проф. 140х140х 8 ст09Г2С
7470;Труба проф. 140х140х 8 ст20
14157;ДСТУ 8938:2019 42х 2.6 ст20
14836;ГАРЯЧА GB/T 8162:2018 76х12 ст20
8557;Порізка  8 різов (ДКПП 25.62.20-00.00)
14816;ГАРЯЧА GB/T 8162:2018 40х 8 ст20
10976;ДСТУ 8938:2019 377х10 ст20
13850;ДСТУ 8938:2019 159х16 ст20
7695;Труба проф. 100х40х 5 ст20
10603;ДСТУ 8938:2019 83х16 ст20
11395;ДСТУ 8938:2019 133х18 ст35
11537;ДСТУ 8938:2019 152х30 ст45
12751;ДСТУ 8939:2019 152х30 ст45
13876;ДСТУ 8938:2019 114х18 ст45
14670;GB/T 8162:2018 70х14  ст45
14785;ДСТУ 8938:2019 127х16 ст45
7519;Труба проф. 90х90х10 ст20
14593;ДСТУ 8938:2019 102х18 ст20
7455;Труба проф. 100х100х10 ст20
10650;ДСТУ 8938:2019 102х22 ст20
14124;GB/T 8162:2018 42х 8 ст20
7573;Труба проф. 120х80х 6 ст09Г2С
7605;Труба проф. 100х50х 6 ст09Г2С
12153;ГОСТ 8732 57х12 ст20
14424;GB/T 8162:2018 95х10 ст20
14960;ГАРЯЧА GB/T 8162:2018 63х14 ст20
11768;ГОСТ 8734 48х 4 ст20
14186;ДСТУ 8938:2019 133х18 ст20
14529;GB/T 8162:2018 73х14  ст20
7593;Труба проф. 100х80х 5 ст20
7544;Труба проф. 60х60х 4 ст20
7553;Труба проф. 50х50х 4 ст20
10501;Труба проф. 120х80х 4 ст20
13825;GB/T 8162:2018 60х 8 ст20
14143;GB/T 8162:2018 70х12  ст20
10793;ДСТУ 8938:2019 83х 4 ст20
11690;ГОСТ 8734 21х 4 ст20
10725;ДСТУ 8938:2019 51х 4 ст20
13632;Порізка 27 різов   (ДКПП 25.62.20-00.00)
10649;ДСТУ 8938:2019 76х16 ст20
14307;ДСТУ 8938:2019 73х10 ст35
10591;ДСТУ 8938:2019 51х 5 ст20
5803;ГОСТ 8732 146х14 ст45
14298;ГОСТ 8732 140х 6 ст20
7537;Труба проф. 70х70х 5 ст20
7540;Труба проф. 70х70х 8 ст20
7558;Труба проф. 42х42х 5 ст20
7802;Труба проф. 80х50х 4 ст20
7622;Труба проф. 80х40х 4 ст20
8525;Порізка  5 різов  ( ДКПП 25.62.20-00.00)
8636;Порізка 16 різ ( зг ДКПП 25.62.20-00.00)
11817;ДСТУ 8939:2019 40х 4 ст20
14648;GB/T 8162:2018 16х 3 ст20
14665;GB/T 8162:2018 35х 6 ст20
8515;Порізка  4 різа ( ДКПП 25.62.20-00.00)
14136;GB/T 8162:2018 40х 6 ст20
10596;ДСТУ 8938:2019 48.3х 5 ст20
10602;ДСТУ 8938:2019 76х 5 ст20
10610;ДСТУ 8938:2019 89х 5 ст20
10704;ДСТУ 8938:2019 102х 5 ст20
10742;ДСТУ 8938:2019 38х 4 ст20
8217;Труба проф. 150х80х 6 ст20
7483;Труба проф. 150х150х 8 ст20
7510;Труба проф. 200х200х10 ст20
7602;Труба проф. 100х60х 6 ст20
7584;Труба проф. 120х60х 6 ст20
7699;Труба проф. 100х70х 6 ст20
10685;ДСТУ 8938:2019 114х14 ст20
13802;GB/T 8162:2018 83х12 ст20
14787;ДСТУ 8938:2019 121х16 ст20
14958;ГАРЯЧА GB/T 8162:2018 60х12 ст20
7482;Труба проф. 150х150х 6 ст20
7706;Труба проф. 150х100х 8 ст20
10493;ДСТУ 8938:2019 102х12 ст35
7438;Труба проф. 120х120х 6 ст20
7441;Труба проф. 120х120х 8 ст20
14828;ГАРЯЧА GB/T 8162:2018 108х 6 ст20
14635;GB/T 8162:2018 70х14  ст20
10862;ДСТУ 8938:2019 140х18 ст20
11758;ГОСТ 8734 40х12 ст20
14657;GB/T 8162:2018 25х 3.5 ст20
14650;GB/T 8162:2018 18х 3 ст20
10773;ДСТУ 8938:2019 83х10 ст20
13966;GB/T 8162:2018 48х 5 ст20
10749;ДСТУ 8938:2019 76х10 ст20
14961;ГАРЯЧА GB/T 8162:2018 65х14 ст20
8531;Порізка  9 різов ( ДКПП 25.62.20-00.00)
14652;GB/T 8162:2018 20х 3 ст20
11701;ГОСТ 8734 25х2.5 ст20
13053;ДСТУ 8939:2019 20х 3 ст20
14965;ГАРЯЧА GB/T 8162:2018 34х 3 ст20
13760;ДСТУ 8938:2019 70х 4 ст20
10690;ДСТУ 8938:2019 48.3х 4 ст20
10853;ДСТУ 8938:2019 299х30 ст45
14021;ДСТУ 8938:2019 180х16 ст20
11344;ДСТУ 8938:2019 152х30 ст20
10979;ДСТУ 8938:2019 299х25 ст35
11669;ГОСТ 8732 63.5х 5 ст20
8644;Порізка 20 резов ( зг ДКПП 25.62.20-00.00)
11413;ДСТУ 8938:2019 63.5х 5 ст20
7461;Труба проф. 110х110х 6 ст20
8517;Порізка  2 різа ( зг ДКПП 25.62.20-00.00)
11702;ГОСТ 8734 25х3 ст20
14442;Порізка 47 різов ( зг ДКПП 25.62.20-00.00)
14092;ДСТУ 8938:2019 133х16 ст20
13951;GB/T 8162:2018 45х 5 ст20
14146;GB/T 8162:2018 34х 3 ст20
11785;ДСТУ 8939:2019 12х 3 ст20
13984;GB/T 8162:2018 63х 6 ст20
7570;Труба проф. 120х100х 8 ст20
7719;Труба проф. 140х120х 8 ст20
7443;Труба проф. 120х120х12 ст20
9004;Порізка товстостінних  ( ДКПП 25.62.20-00.00)
13858;GB/T 8162:2018 45х12 ст20
10844;ДСТУ 8938:2019 168х32 ст20
11527;ДСТУ 8938:2019 102х22 ст20
11837;ГОСТ 8734 108х18 ст20
14568;ДСТУ 8938:2019 108х16 ст20
13582;ДСТУ 8938:2019 203х22 ст20
14762;ДСТУ 8938:2019 168х36 ст20
14557;ДСТУ 8938:2019 245х25 ст20
14649;GB/T 8162:2018 16х 5 ст20
11903;ДСТУ 8939:2019 76х14 ст20
13654;ДСТУ 8938:2019 203х16 ст20
13863;GB/T 8162:2018 168х20 ст20
8548;ОРЕНДА СКЛАДУ
10552;ДСТУ 8938:2019 108х 4 ст20
13877;ГОСТ 8732 159х 5 ст20
10991;ДСТУ 8938:2019 89х 3.5 ст20
14479;ДСТУ 8938:2019 630х10 ст20
13982;GB/T 8162:2018 108х 4 ст20
7458;Труба проф. 100х100х 8 ст35
11783;ДСТУ 8939:2019 10х 2 ст20
14806;ГАРЯЧА GB/T 8162:2018 26х 4 ст20
12384;ДСТУ 8938:2019 89х25 ст20
12510;ДСТУ 8939:2019 273х40 ст45
13788;ДСТУ 8938:2019 133х25 ст35
14407;ДСТУ 8938:2019 203х25 ст35
7562;Труба проф. 40х40х 5 ст09Г2С
11869;ГОСТ 8734 76х 8 ст20
11813;ДСТУ 8939:2019 38х 3 ст20
11059;ДСТУ 8939:2019 34х 1.5 ст20
7732;Труба проф. 210х100х 8 ст20
10557;ДСТУ 8938:2019 57х 6 ст20
11760;ГОСТ 8734 42х 6 ст20
14096;ДСТУ 8938:2019 127х10 ст20
14810;ГАРЯЧА GB/T 8162:2018 34х 5 ст20
13728;ДСТУ 8938:2019 219х22 ст20
14558;ДСТУ 8938:2019 457х20 ст20
14801;ГАРЯЧА GB/T 8162:2018 24х 3 ст20
10730;ДСТУ 8938:2019 203х20 ст20
14954;ГАРЯЧА GB/T 8162:2018 30х 4 ст20
14837;ГАРЯЧА GB/T 8162:2018 89х10 ст20
14838;ГАРЯЧА GB/T 8162:2018 83х14 ст20
14125;GB/T 8162:2018 108х 5 ст20
10555;ДСТУ 8938:2019 114х 8 ст20
14587;ДСТУ 8938:2019 325х14 ст20
6064;ГОСТ 8732 203х40 ст45
11744;ГОСТ 8734 38х 3 ст20
11985;ГОСТ 8732 159х 6 ст20
14914;ГАРЯЧА GB/T 8162:2018 89х 4 ст20
10582;ДСТУ 8938:2019 32х 3 ст20
13998;GB/T 8162:2018 48х 8 ст20
13995;GB/T 8162:2018 30х 5 ст20
10723;ДСТУ 8938:2019 133х22 ст20
8255;Труба проф. 250х150х12 ст20
12524;ДСТУ 8939:2019 299х35 ст45
13818;ДСТУ 8938:2019 140х30 ст45
10519;ДСТУ 8938:2019 159х 5 ст20
14188;ГОСТ 8732 114х 5 ст20
14000;GB/T 8162:2018 54х 8 ст20
14409;ДСТУ 8938:2019 159х20 ст35
14519;GB/T 8162:2018 40х 3 ст20
7723;Труба проф. 140х80х 5 ст20
10576;ДСТУ 8938:2019 180х 8 ст20
7742;Труба проф. 60х40х 5 ст09Г2С
10808;ДСТУ 8938:2019 89х12 ст35
7590;Труба проф. 120х40х 6 ст20
13997;GB/T 8162:2018 36х 4 ст20
10970;ДСТУ 8938:2019 127х 5 ст20
8571;Порізка 12 різ ( зг ДКПП 25.62.20-00.00)
10569;ДСТУ 8938:2019 159х10 ст20
13827;GB/T 8162:2018 42х 5 ст20
14057;GB/T 8162:2018 57х 6 ст20
